"","week","wsumAvg","ndoc"
"178",1961-05-24,0,2
"179",1961-05-31,0,8
"180",1961-06-07,0,8
"181",1961-06-14,0,12
"182",1961-06-21,2,14
"183",1961-06-28,1,13
"184",1961-07-05,0,8
"185",1961-07-12,0,8
"186",1961-07-19,0,9
"187",1961-07-26,0,4
"188",1961-08-02,0,5
"189",1961-08-09,0,6
"190",1961-08-16,0,10
"191",1961-08-23,1,15
"192",1961-08-30,1,17
"193",1961-09-06,0,14
"194",1961-09-13,0,37
"195",1961-09-20,0,37
"196",1961-09-27,0,10
"197",1961-10-04,0,33
"198",1961-10-11,0,25
"199",1961-10-18,1,27
"200",1961-10-25,6,64
"201",1961-11-01,0,36
"202",1961-11-08,5,27
"203",1961-11-15,0,13
"204",1961-11-22,0,10
"205",1961-11-29,0,25
"206",1961-12-06,0,24
"207",1961-12-13,0,28
"208",1961-12-20,2,19
"209",1961-12-27,1,8
"210",1962-01-03,2,29
"211",1962-01-10,1,29
"212",1962-01-17,1,12
"213",1962-01-24,0,19
"214",1962-01-31,1,15
"215",1962-02-07,4,26
"216",1962-02-14,1,15
"217",1962-02-21,0,11
"218",1962-02-28,1,19
"219",1962-03-07,1,10
"220",1962-03-14,0,14
"221",1962-03-21,2,27
"222",1962-03-28,0,27
"223",1962-04-04,0,29
"224",1962-04-11,1,42
"225",1962-04-18,0,25
"226",1962-04-25,1,22
"227",1962-05-02,1,15
"228",1962-05-09,0,22
"229",1962-05-16,1,28
"230",1962-05-23,0,39
"231",1962-05-30,1,33
"232",1962-06-06,3,43
"233",1962-06-13,0,21
"234",1962-06-20,0,20
"235",1962-06-27,0,17
"236",1962-07-04,1,19
"237",1962-07-11,0,35
"238",1962-07-18,1,39
"239",1962-07-25,3,36
"240",1962-08-01,0,17
"241",1962-08-08,0,28
"242",1962-08-15,0,48
"243",1962-08-22,7,82
"244",1962-08-29,4,74
"245",1962-09-05,0,70
"246",1962-09-12,0,31
"247",1962-09-19,1,42
"248",1962-09-26,1,30
"249",1962-10-03,6,45
"250",1962-10-10,0,25
"251",1962-10-17,0,34
"252",1962-10-24,0,31
