"","week","wsumAvg","ndoc"
"228",1962-05-09,6,44
"229",1962-05-16,10,44
"230",1962-05-23,17,64
"231",1962-05-30,7,41
"232",1962-06-06,7,39
"233",1962-06-13,8,35
"234",1962-06-20,7,46
"235",1962-06-27,2,10
"236",1962-07-04,7,31
"237",1962-07-11,6,20
"238",1962-07-18,4,30
"239",1962-07-25,5,26
"240",1962-08-01,3,20
"241",1962-08-08,4,17
"242",1962-08-15,6,48
"243",1962-08-22,23,56
"244",1962-08-29,9,43
"245",1962-09-05,11,44
"246",1962-09-12,8,36
"247",1962-09-19,1,20
"248",1962-09-26,3,30
"249",1962-10-03,4,35
"250",1962-10-10,9,51
"251",1962-10-17,10,58
"252",1962-10-24,2,19
"253",1962-10-31,2,18
"254",1962-11-07,3,26
"255",1962-11-14,7,24
"256",1962-11-21,0,14
"257",1962-11-28,3,26
"258",1962-12-05,0,21
"259",1962-12-12,9,34
"260",1962-12-19,4,22
"261",1962-12-26,10,35
"262",1963-01-02,2,36
"263",1963-01-09,4,52
"264",1963-01-16,7,123
"265",1963-01-23,6,52
"266",1963-01-30,5,57
"267",1963-02-06,3,23
"268",1963-02-13,6,31
"269",1963-02-20,5,17
"270",1963-02-27,2,21
"271",1963-03-06,5,25
"272",1963-03-13,3,32
"273",1963-03-20,4,32
"274",1963-03-27,0,35
"275",1963-04-03,5,60
"276",1963-04-10,7,52
"277",1963-04-17,1,31
"278",1963-04-24,2,28
"279",1963-05-01,4,25
"280",1963-05-08,2,23
"281",1963-05-15,2,28
"282",1963-05-22,0,26
"283",1963-05-29,2,25
"284",1963-06-05,3,29
"285",1963-06-12,1,20
"286",1963-06-19,6,54
"287",1963-06-26,12,95
"288",1963-07-03,4,62
"289",1963-07-10,4,24
"290",1963-07-17,3,29
"291",1963-07-24,7,52
"292",1963-07-31,4,32
"293",1963-08-07,2,36
"294",1963-08-14,5,24
"295",1963-08-21,2,22
"296",1963-08-28,3,32
"297",1963-09-04,4,34
"298",1963-09-11,4,34
"299",1963-09-18,1,24
"300",1963-09-25,0,19
"301",1963-10-02,4,30
"302",1963-10-09,6,39
"303",1963-10-16,0,44
"304",1963-10-23,0,11
"305",1963-10-30,0,18
"306",1963-11-06,4,34
"307",1963-11-13,5,27
