"","week","wsumAvg","ndoc"
"121",1960-04-20,0,29
"122",1960-04-27,2,54
"123",1960-05-04,4,40
"124",1960-05-11,1,50
"125",1960-05-18,3,59
"126",1960-05-25,0,23
"127",1960-06-01,0,33
"128",1960-06-08,2,45
"129",1960-06-15,0,17
"130",1960-06-22,1,11
"131",1960-06-29,1,29
"132",1960-07-06,3,35
"133",1960-07-13,2,36
"134",1960-07-20,0,23
"135",1960-07-27,1,37
"136",1960-08-03,0,34
"137",1960-08-10,1,32
"138",1960-08-17,1,34
"139",1960-08-24,1,31
"140",1960-08-31,0,29
"141",1960-09-07,1,34
"142",1960-09-14,0,43
"143",1960-09-21,0,37
"144",1960-09-28,2,21
"145",1960-10-05,2,36
"146",1960-10-12,1,24
"147",1960-10-19,1,31
"148",1960-10-26,1,24
"149",1960-11-02,0,27
"150",1960-11-09,1,17
"151",1960-11-16,0,17
"152",1960-11-23,0,4
"153",1960-11-30,0,17
"154",1960-12-07,0,23
"155",1960-12-14,1,29
"156",1960-12-21,0,20
"157",1960-12-28,1,13
"158",1961-01-04,0,12
"159",1961-01-11,1,23
"160",1961-01-18,1,28
"161",1961-01-25,2,23
"162",1961-02-01,0,14
"163",1961-02-08,0,17
"164",1961-02-15,0,14
"165",1961-02-22,0,32
"166",1961-03-01,1,35
"167",1961-03-08,1,39
"168",1961-03-15,0,26
"169",1961-03-22,1,35
"170",1961-03-29,0,31
"171",1961-04-05,1,29
"172",1961-04-12,0,35
"173",1961-04-19,0,16
"174",1961-04-26,0,26
"175",1961-05-03,0,6
"176",1961-05-10,0,14
"177",1961-05-17,0,6
"178",1961-05-24,0,20
"179",1961-05-31,4,49
"180",1961-06-07,5,55
"181",1961-06-14,4,48
"182",1961-06-21,10,51
"183",1961-06-28,1,45
"184",1961-07-05,2,41
"185",1961-07-12,1,84
"186",1961-07-19,3,95
"187",1961-07-26,3,70
"188",1961-08-02,4,71
"189",1961-08-09,7,119
"190",1961-08-16,6,163
"191",1961-08-23,6,128
"192",1961-08-30,3,90
"193",1961-09-06,7,79
"194",1961-09-13,3,104
"195",1961-09-20,3,100
"196",1961-09-27,0,52
"197",1961-10-04,1,46
"198",1961-10-11,3,52
"199",1961-10-18,2,62
"200",1961-10-25,4,67
"201",1961-11-01,2,69
"202",1961-11-08,1,51
"203",1961-11-15,1,46
"204",1961-11-22,0,28
"205",1961-11-29,1,53
"206",1961-12-06,0,52
"207",1961-12-13,0,48
"208",1961-12-20,1,30
"209",1961-12-27,0,26
"210",1962-01-03,4,43
"211",1962-01-10,1,49
"212",1962-01-17,0,31
"213",1962-01-24,0,45
"214",1962-01-31,0,47
"215",1962-02-07,1,56
"216",1962-02-14,1,42
"217",1962-02-21,2,44
"218",1962-02-28,3,58
"219",1962-03-07,0,46
"220",1962-03-14,0,36
"221",1962-03-21,0,32
"222",1962-03-28,2,56
"223",1962-04-04,0,59
"224",1962-04-11,1,56
"225",1962-04-18,1,53
"226",1962-04-25,0,72
"227",1962-05-02,1,63
"228",1962-05-09,1,44
"229",1962-05-16,2,44
"230",1962-05-23,2,64
"231",1962-05-30,0,41
"232",1962-06-06,0,39
"233",1962-06-13,1,35
"234",1962-06-20,0,46
"235",1962-06-27,1,10
"236",1962-07-04,2,31
"237",1962-07-11,2,20
"238",1962-07-18,0,30
"239",1962-07-25,0,26
"240",1962-08-01,1,20
"241",1962-08-08,0,17
"242",1962-08-15,0,48
"243",1962-08-22,3,56
"244",1962-08-29,0,43
"245",1962-09-05,1,44
"246",1962-09-12,2,36
"247",1962-09-19,0,20
"248",1962-09-26,0,30
"249",1962-10-03,1,35
"250",1962-10-10,0,51
"251",1962-10-17,1,58
"252",1962-10-24,0,19
"253",1962-10-31,2,18
"254",1962-11-07,2,26
"255",1962-11-14,0,24
"256",1962-11-21,0,14
"257",1962-11-28,0,26
"258",1962-12-05,0,21
"259",1962-12-12,4,34
"260",1962-12-19,1,22
"261",1962-12-26,4,35
"262",1963-01-02,1,36
"263",1963-01-09,1,52
"264",1963-01-16,5,123
"265",1963-01-23,3,52
"266",1963-01-30,2,57
"267",1963-02-06,2,23
"268",1963-02-13,1,31
"269",1963-02-20,2,17
"270",1963-02-27,0,21
"271",1963-03-06,0,25
"272",1963-03-13,1,32
"273",1963-03-20,0,32
"274",1963-03-27,0,35
"275",1963-04-03,0,60
"276",1963-04-10,3,52
"277",1963-04-17,0,31
"278",1963-04-24,0,28
"279",1963-05-01,0,25
"280",1963-05-08,0,23
"281",1963-05-15,0,28
"282",1963-05-22,0,26
"283",1963-05-29,0,25
"284",1963-06-05,0,29
"285",1963-06-12,0,20
"286",1963-06-19,1,54
"287",1963-06-26,3,95
"288",1963-07-03,2,62
"289",1963-07-10,0,24
"290",1963-07-17,0,29
"291",1963-07-24,1,52
"292",1963-07-31,3,32
"293",1963-08-07,0,36
"294",1963-08-14,0,24
"295",1963-08-21,0,22
"296",1963-08-28,0,32
"297",1963-09-04,2,34
"298",1963-09-11,2,34
"299",1963-09-18,0,24
"300",1963-09-25,0,19
"301",1963-10-02,0,30
"302",1963-10-09,0,39
"303",1963-10-16,0,44
"304",1963-10-23,0,11
"305",1963-10-30,0,18
"306",1963-11-06,0,34
"307",1963-11-13,2,27
