"","week","wsumAvg","ndoc"
"92",1959-09-30,0,2
"93",1959-10-07,2,9
"94",1959-10-14,7,17
"95",1959-10-21,9,15
"96",1959-10-28,2,11
"97",1959-11-04,2,3
"98",1959-11-11,0,2
"99",1959-11-18,1,2
"100",1959-11-25,0,6
"101",1959-12-02,1,6
"102",1959-12-09,0,5
"103",1959-12-16,1,5
"104",1959-12-23,1,5
"105",1959-12-30,0,2
"106",1960-01-06,4,5
"107",1960-01-13,0,8
"108",1960-01-20,2,3
"109",1960-01-27,0,6
"110",1960-02-03,3,23
"111",1960-02-10,0,20
"112",1960-02-17,2,23
"113",1960-02-24,2,21
"114",1960-03-02,2,16
"115",1960-03-09,1,20
"116",1960-03-16,1,12
"117",1960-03-23,3,6
"118",1960-03-30,1,9
"119",1960-04-06,0,5
"120",1960-04-13,0,5
"121",1960-04-20,1,7
"122",1960-04-27,1,15
"123",1960-05-04,0,12
"124",1960-05-11,5,19
"125",1960-05-18,2,21
"126",1960-05-25,0,11
"127",1960-06-01,0,6
"128",1960-06-08,0,11
"129",1960-06-15,0,6
"130",1960-06-22,3,18
"131",1960-06-29,2,12
"132",1960-07-06,2,22
"133",1960-07-13,7,23
"134",1960-07-20,1,16
"135",1960-07-27,2,19
"136",1960-08-03,1,11
"137",1960-08-10,0,4
"138",1960-08-17,2,11
"139",1960-08-24,0,2
"140",1960-08-31,0,5
"141",1960-09-07,2,6
"142",1960-09-14,0,6
"143",1960-09-21,0,6
"144",1960-09-28,0,2
"145",1960-10-05,2,9
"146",1960-10-12,1,6
"147",1960-10-19,0,14
"148",1960-10-26,0,8
"149",1960-11-02,0,6
"150",1960-11-09,0,6
"151",1960-11-16,0,10
"152",1960-11-23,0,7
"153",1960-11-30,0,7
"154",1960-12-07,0,5
"155",1960-12-14,0,4
"156",1960-12-21,0,10
"157",1960-12-28,0,3
"158",1961-01-04,2,7
"159",1961-01-11,0,5
"160",1961-01-18,0,2
"161",1961-01-25,0,2
"162",1961-02-01,1,5
"163",1961-02-08,1,3
"164",1961-02-15,1,4
"165",1961-02-22,0,10
"166",1961-03-01,1,8
"167",1961-03-08,1,8
"168",1961-03-15,2,2
"169",1961-03-22,1,4
"170",1961-03-29,0,1
"171",1961-04-05,1,1
"172",1961-04-12,0,1
"173",1961-04-19,0,2
"174",1961-04-26,0,4
"175",1961-05-03,0,1
"176",1961-05-10,0,4
"177",1961-05-17,0,4
"178",1961-05-24,0,2
"179",1961-05-31,3,8
"180",1961-06-07,1,8
"181",1961-06-14,1,12
"182",1961-06-21,5,14
"183",1961-06-28,4,13
"184",1961-07-05,0,8
"185",1961-07-12,0,8
"186",1961-07-19,1,9
"187",1961-07-26,1,4
"188",1961-08-02,0,5
"189",1961-08-09,0,6
"190",1961-08-16,6,10
"191",1961-08-23,2,15
"192",1961-08-30,9,17
"193",1961-09-06,1,14
"194",1961-09-13,8,37
"195",1961-09-20,11,37
"196",1961-09-27,1,10
"197",1961-10-04,10,33
"198",1961-10-11,7,25
"199",1961-10-18,6,27
"200",1961-10-25,31,64
"201",1961-11-01,12,36
"202",1961-11-08,12,27
"203",1961-11-15,4,13
"204",1961-11-22,6,10
"205",1961-11-29,13,25
"206",1961-12-06,5,24
"207",1961-12-13,7,28
"208",1961-12-20,7,19
"209",1961-12-27,5,8
"210",1962-01-03,4,29
"211",1962-01-10,5,29
"212",1962-01-17,2,12
"213",1962-01-24,4,19
"214",1962-01-31,4,15
"215",1962-02-07,13,26
"216",1962-02-14,1,15
"217",1962-02-21,3,11
"218",1962-02-28,9,19
"219",1962-03-07,5,10
"220",1962-03-14,1,14
"221",1962-03-21,13,27
"222",1962-03-28,10,27
"223",1962-04-04,6,29
"224",1962-04-11,8,42
"225",1962-04-18,3,25
"226",1962-04-25,5,22
"227",1962-05-02,6,15
"228",1962-05-09,7,22
"229",1962-05-16,9,28
"230",1962-05-23,12,39
"231",1962-05-30,4,33
"232",1962-06-06,17,43
"233",1962-06-13,6,21
"234",1962-06-20,5,20
"235",1962-06-27,9,17
"236",1962-07-04,3,19
"237",1962-07-11,7,35
"238",1962-07-18,9,39
"239",1962-07-25,15,36
"240",1962-08-01,4,17
"241",1962-08-08,10,28
"242",1962-08-15,22,48
"243",1962-08-22,37,82
"244",1962-08-29,39,74
"245",1962-09-05,29,70
"246",1962-09-12,7,31
"247",1962-09-19,13,42
"248",1962-09-26,10,30
"249",1962-10-03,20,45
"250",1962-10-10,6,25
"251",1962-10-17,7,34
"252",1962-10-24,6,31
"253",1962-10-31,4,14
"254",1962-11-07,8,21
"255",1962-11-14,7,24
"256",1962-11-21,5,13
"257",1962-11-28,7,18
"258",1962-12-05,2,15
"259",1962-12-12,2,9
"260",1962-12-19,4,9
"261",1962-12-26,4,7
"262",1963-01-02,1,4
"263",1963-01-09,3,10
"264",1963-01-16,4,14
"265",1963-01-23,3,9
"266",1963-01-30,1,7
"267",1963-02-06,1,10
"268",1963-02-13,1,15
"269",1963-02-20,2,7
"270",1963-02-27,1,13
"271",1963-03-06,4,8
"272",1963-03-13,2,14
"273",1963-03-20,4,20
"274",1963-03-27,1,10
"275",1963-04-03,1,10
"276",1963-04-10,1,8
"277",1963-04-17,1,8
"278",1963-04-24,1,7
"279",1963-05-01,1,7
"280",1963-05-08,0,4
"281",1963-05-15,1,8
"282",1963-05-22,0,4
"283",1963-05-29,1,5
"284",1963-06-05,2,4
"285",1963-06-12,3,8
"286",1963-06-19,5,20
"287",1963-06-26,6,17
"288",1963-07-03,1,12
"289",1963-07-10,1,9
"290",1963-07-17,0,10
"291",1963-07-24,1,12
"292",1963-07-31,1,9
"293",1963-08-07,5,14
"294",1963-08-14,1,8
"295",1963-08-21,0,4
"296",1963-08-28,0,1
"297",1963-09-04,1,2
"298",1963-09-11,0,3
"299",1963-09-18,2,7
"300",1963-09-25,0,2
"301",1963-10-02,0,5
"302",1963-10-09,1,7
"303",1963-10-16,2,4
"304",1963-10-23,1,2
"305",1963-10-30,0,2
"306",1963-11-06,0,1
"307",1963-11-13,1,3
