,doc.id,date
246,246-B,7/27/1961
247,247-B,7/27/1961
248,248-B,7/25/1961
249,249-B,7/27/1961
250,250-B,7/27/1961
251,251-B,7/27/1961
252,252-B,7/27/1961
253,253-B,7/27/1961
254,254-B,7/28/1961
255,255-B,7/28/1961
256,256-B,7/29/1961
257,257-B,7/31/1961
258,258-B,7/31/1961
259,259-B,7/31/1961
260,260-B,7/31/1961
261,261-B,7/31/1961
262,262-B,7/31/1961
263,263-B,7/29/1961
264,264-B,7/29/1961
265,265-B,7/21/1961
266,266-B,7/21/1961
267,267-B,7/21/1961
268,268-B,7/18/1961
269,269-B,7/19/1961
270,270-B,7/19/1961
271,271-B,7/19/1961
272,272-B,7/19/1961
273,273-B,7/19/1961
274,274-B,7/25/1961
275,275-B,7/25/1961
276,276-B,7/26/1961
277,277-B,7/26/1961
278,278-B,7/31/1961
279,279-B,8/2/1961
280,280-B,8/3/1961
281,281-B,8/3/1961
282,282-B,8/3/1961
283,283-B,8/3/1961
284,284-B,8/16/1961
285,285-B,8/11/1961
286,286-B,8/1/1961
287,287-B,8/1/1961
288,288-B,8/2/1961
289,289-B,8/3/1961
290,290-B,8/3/1961
291,291-B,8/3/1961
292,292-B,8/3/1961
293,293-B,8/3/1961
294,294-B,8/3/1961
295,295-B,8/3/1961
296,296-B,8/3/1961
297,297-B,7/28/1961
298,298-B,8/3/1961
299,299-B,9/3/1961
300,300-B,8/3/1961
301,301-B,8/3/1961
302,302-B,8/4/1961
303,303-B,8/4/1961
304,304-B,8/4/1961
305,305-B,8/4/1961
306,306-B,7/30/1961
307,307-B,8/4/1961
308,308-B,8/4/1961
309,309-B,8/5/1961
310,310-B,7/27/1961
311,311-B,8/5/1961
312,312-B,8/4/1961
313,313-B,8/1/1961
314,314-B,7/31/1961
315,315-B,7/31/1961
316,316-B,7/31/1961
317,317-B,7/31/1961
318,318-B,7/31/1961
319,319-B,7/31/1961
320,320-B,7/31/1961
321,321-B,8/7/1961
322,322-B,8/7/1961
323,323-B,8/7/1961
324,324-B,8/8/1961
325,325-B,8/7/1961
326,326-B,8/1/1961
327,327-B,8/3/1961
328,328-B,8/3/1961
329,329-B,8/8/1961
330,330-B,8/8/1961
331,331-B,8/9/1961
332,332-B,8/9/1961
333,333-B,8/9/1961
334,334-B,8/9/1961
335,335-B,8/9/1961
336,336-B,8/9/1961
337,337-B,8/18/1961
338,338-B,8/10/1961
339,339-B,8/11/1961
340,340-B,8/11/1961
341,341-B,8/11/1961
342,342-B,8/11/1961
343,343-B,8/11/1961
344,344-B,8/11/1961
345,345-B,8/11/1961
346,346-B,8/12/1961
347,347-B,8/14/1961
348,348-B,8/14/1961
349,349-B,8/14/1961
350,350-B,8/14/1961
351,351-B,8/15/1961
352,352-B,8/16/1961
353,353-B,8/16/1961
354,354-B,8/16/1961
355,355-B,8/16/1961
356,356-B,8/16/1961
357,357-B,8/17/1961
358,358-B,8/17/1961
359,359-B,8/17/1961
360,360-B,8/17/1961
361,361-B,8/17/1961
362,362-B,8/17/1961
363,363-B,8/17/1961
364,364-B,8/17/1961
365,365-B,8/17/1961
366,366-B,8/18/1961
367,367-B,8/18/1961
368,368-B,9/18/1961
369,369-B,8/18/1961
370,370-B,8/18/1961
371,371-B,8/18/1961
372,372-B,8/18/1961
373,373-B,8/18/1961
374,374-B,8/18/1961
375,375-B,8/18/1961
376,376-B,8/18/1961
377,377-B,8/19/1961
378,378-B,8/20/1961
379,379-B,8/20/1961
380,380-B,8/18/1961
381,381-B,8/18/1961
382,382-B,8/18/1961
383,383-B,8/18/1961
384,384-B,8/18/1961
385,385-B,8/17/1961
386,386-B,8/19/1961
387,387-B,8/20/1961
388,388-B,8/18/1961
389,389-B,8/21/1961
390,390-B,8/18/1961
391,391-B,8/21/1961
392,392-B,8/22/1961
393,393-B,8/21/1961
394,394-B,8/21/1961
395,395-B,8/22/1961
396,396-B,8/22/1961
397,397-B,8/22/1961
398,398-B,8/15/1961
399,399-B,8/22/1961
400,400-B,8/22/1961
401,401-B,8/22/1961
402,402-B,8/22/1961
403,403-B,8/22/1961
404,404-B,8/22/1961
405,405-B,8/25/1961
406,406-B,8/25/1961
407,407-B,8/25/1961
408,408-B,8/25/1961
409,409-B,8/25/1961
410,410-B,8/25/1961
411,411-B,8/25/1961
412,412-B,8/23/1961
413,413-B,8/24/1961
414,414-B,8/22/1961
415,415-B,8/19/1961
416,416-B,8/24/1961
417,417-B,8/26/1961
418,418-B,8/26/1961
419,419-B,8/24/1961
420,420-B,8/24/1961
421,421-B,8/24/1961
422,422-B,8/24/1961
423,423-B,8/26/1961
424,424-B,9/12/1961
425,425-B,9/9/1961
426,426-B,8/28/1961
427,427-B,8/28/1961
428,428-B,8/28/1961
429,429-B,8/28/1961
430,430-B,8/28/1961
431,431-B,8/28/1961
432,432-B,8/28/1961
433,433-B,8/28/1961
434,434-B,8/25/1961
435,435-B,8/25/1961
436,436-B,8/22/1961
437,437-B,8/22/1961
438,438-B,8/22/1961
439,439-B,8/29/1961
440,440-B,8/29/1961
441,441-B,8/29/1961
442,442-B,8/30/1961
443,443-B,8/31/1961
444,444-B,8/31/1961
445,445-B,8/31/1961
446,446-B,9/17/1961
447,447-B,9/25/1961
448,448-B,9/19/1961
449,449-B,9/19/1961
450,450-B,9/1/1961
451,451-B,9/1/1961
452,452-B,9/1/1961
453,453-B,8/31/1961
454,454-B,9/3/1961
455,455-B,9/2/1961
456,456-B,9/2/1961
457,457-B,9/2/1961
458,458-B,9/4/1961
459,459-B,9/5/1961
460,460-B,9/3/1961
461,461-B,9/3/1961
462,462-B,9/3/1961
463,463-B,9/5/1961
464,464-B,9/3/1961
465,465-B,9/6/1961
466,466-B,9/6/1961
467,467-B,9/6/1961
468,468-B,9/6/1961
469,469-B,9/6/1961
470,470-B,9/6/1961
471,471-B,9/7/1961
472,472-B,9/7/1961
473,473-B,9/7/1961
474,474-B,9/7/1961
475,475-B,9/7/1961
476,476-B,9/7/1961
477,477-B,9/7/1961
478,478-B,9/7/1961
479,479-B,9/7/1961
480,480-B,9/7/1961
481,481-B,9/8/1961
482,482-B,9/8/1961
483,483-B,9/8/1961
484,484-B,9/8/1961
485,485-B,9/8/1961
486,486-B,9/8/1961
487,487-B,9/9/1961
488,488-B,9/9/1961
489,489-B,9/9/1961
490,490-B,9/11/1961
491,491-B,9/11/1961
492,492-B,9/11/1961
493,493-B,9/11/1961
494,494-B,9/11/1961
495,495-B,9/11/1961
496,496-B,9/11/1961
497,497-B,9/11/1961
498,498-B,9/11/1961
499,499-B,9/11/1961
500,500-B,9/12/1961
501,501-B,9/12/1961
502,502-B,9/12/1961
503,503-B,9/12/1961
504,504-B,9/14/1961
505,505-B,9/14/1961
506,506-B,9/13/1961
507,507-B,9/14/1961
508,508-B,9/14/1961
509,509-B,9/14/1961
510,510-B,9/14/1961
511,511-B,9/14/1961
512,512-B,9/15/1961
513,513-B,9/17/1961
514,514-B,9/18/1961
515,515-B,9/18/1961
516,516-B,9/16/1961
517,517-B,9/16/1961
518,518-B,9/16/1961
519,519-B,9/16/1961
520,520-B,9/16/1961
521,521-B,9/16/1961
522,522-B,9/16/1961
523,523-B,9/16/1961
524,524-B,9/16/1961
525,525-B,9/16/1961
526,526-B,9/16/1961
527,527-B,9/16/1961
528,528-B,9/16/1961
529,529-B,9/16/1961
530,530-B,9/16/1961
531,531-B,9/16/1961
532,532-B,9/16/1961
533,533-B,9/18/1961
534,534-B,9/16/1961
535,535-B,9/17/1961
536,536-B,9/18/1961
537,537-B,9/18/1961
538,538-B,9/18/1961
539,539-B,9/19/1961
540,540-B,9/18/1961
541,541-B,9/20/1961
542,542-B,9/22/1961
543,543-B,9/22/1961
544,544-B,9/22/1961
545,545-B,9/22/1961
546,546-B,9/22/1961
547,547-B,9/22/1961
548,548-B,9/22/1961
549,549-B,9/25/1961
550,550-B,9/25/1961
551,551-B,9/25/1961
552,552-B,9/25/1961
553,553-B,9/27/1961
554,554-B,9/28/1961
555,555-B,9/28/1961
556,556-B,9/28/1961
557,557-B,9/28/1961
558,558-B,9/28/1961
559,559-B,9/29/1961
560,560-B,9/29/1961
561,561-B,9/26/1961
