"","week","wsumAvg","ndoc"
"121",1960-04-20,0,29
"122",1960-04-27,4,54
"123",1960-05-04,4,40
"124",1960-05-11,3,50
"125",1960-05-18,4,59
"126",1960-05-25,0,23
"127",1960-06-01,2,33
"128",1960-06-08,3,45
"129",1960-06-15,0,17
"130",1960-06-22,2,11
"131",1960-06-29,1,29
"132",1960-07-06,4,35
"133",1960-07-13,5,36
"134",1960-07-20,0,23
"135",1960-07-27,2,37
"136",1960-08-03,1,34
"137",1960-08-10,1,32
"138",1960-08-17,2,34
"139",1960-08-24,4,31
"140",1960-08-31,3,29
"141",1960-09-07,1,34
"142",1960-09-14,1,43
"143",1960-09-21,1,37
"144",1960-09-28,3,21
"145",1960-10-05,4,36
"146",1960-10-12,4,24
"147",1960-10-19,2,31
"148",1960-10-26,2,24
"149",1960-11-02,0,27
"150",1960-11-09,2,17
"151",1960-11-16,1,17
"152",1960-11-23,0,4
"153",1960-11-30,0,17
"154",1960-12-07,1,23
"155",1960-12-14,3,29
"156",1960-12-21,0,20
"157",1960-12-28,1,13
"158",1961-01-04,0,12
"159",1961-01-11,1,23
"160",1961-01-18,2,28
"161",1961-01-25,2,23
"162",1961-02-01,0,14
"163",1961-02-08,1,17
"164",1961-02-15,1,14
"165",1961-02-22,0,32
"166",1961-03-01,2,35
"167",1961-03-08,2,39
"168",1961-03-15,2,26
"169",1961-03-22,1,35
"170",1961-03-29,0,31
"171",1961-04-05,2,29
"172",1961-04-12,2,35
"173",1961-04-19,0,16
"174",1961-04-26,1,26
"175",1961-05-03,0,6
"176",1961-05-10,0,14
"177",1961-05-17,0,6
"178",1961-05-24,0,20
"179",1961-05-31,5,49
"180",1961-06-07,6,55
"181",1961-06-14,6,48
"182",1961-06-21,13,51
"183",1961-06-28,3,45
"184",1961-07-05,5,41
"185",1961-07-12,16,84
"186",1961-07-19,12,95
"187",1961-07-26,7,70
"188",1961-08-02,7,71
"189",1961-08-09,18,119
"190",1961-08-16,23,163
"191",1961-08-23,19,128
"192",1961-08-30,27,90
"193",1961-09-06,9,79
"194",1961-09-13,14,104
"195",1961-09-20,7,100
"196",1961-09-27,6,52
"197",1961-10-04,5,46
"198",1961-10-11,5,52
"199",1961-10-18,2,62
"200",1961-10-25,7,67
"201",1961-11-01,7,69
"202",1961-11-08,2,51
"203",1961-11-15,4,46
"204",1961-11-22,1,28
"205",1961-11-29,1,53
"206",1961-12-06,2,52
"207",1961-12-13,2,48
"208",1961-12-20,6,30
"209",1961-12-27,0,26
"210",1962-01-03,5,43
"211",1962-01-10,3,49
"212",1962-01-17,1,31
"213",1962-01-24,1,45
"214",1962-01-31,0,47
"215",1962-02-07,6,56
"216",1962-02-14,4,42
"217",1962-02-21,6,44
"218",1962-02-28,4,58
"219",1962-03-07,3,46
"220",1962-03-14,0,36
"221",1962-03-21,0,32
"222",1962-03-28,5,56
"223",1962-04-04,3,59
"224",1962-04-11,3,56
"225",1962-04-18,2,53
"226",1962-04-25,2,72
"227",1962-05-02,4,63
"228",1962-05-09,1,44
"229",1962-05-16,2,44
"230",1962-05-23,9,64
"231",1962-05-30,5,41
"232",1962-06-06,2,39
"233",1962-06-13,3,35
"234",1962-06-20,0,46
"235",1962-06-27,1,10
"236",1962-07-04,6,31
"237",1962-07-11,5,20
"238",1962-07-18,0,30
"239",1962-07-25,0,26
"240",1962-08-01,1,20
"241",1962-08-08,1,17
"242",1962-08-15,2,48
"243",1962-08-22,11,56
"244",1962-08-29,3,43
"245",1962-09-05,8,44
"246",1962-09-12,4,36
"247",1962-09-19,1,20
"248",1962-09-26,1,30
"249",1962-10-03,1,35
"250",1962-10-10,0,51
"251",1962-10-17,6,58
"252",1962-10-24,1,19
"253",1962-10-31,2,18
"254",1962-11-07,3,26
"255",1962-11-14,1,24
"256",1962-11-21,0,14
"257",1962-11-28,2,26
"258",1962-12-05,0,21
"259",1962-12-12,6,34
"260",1962-12-19,2,22
"261",1962-12-26,6,35
"262",1963-01-02,2,36
"263",1963-01-09,3,52
"264",1963-01-16,6,123
"265",1963-01-23,4,52
"266",1963-01-30,3,57
"267",1963-02-06,2,23
"268",1963-02-13,1,31
"269",1963-02-20,2,17
"270",1963-02-27,1,21
"271",1963-03-06,0,25
"272",1963-03-13,2,32
"273",1963-03-20,0,32
"274",1963-03-27,0,35
"275",1963-04-03,2,60
"276",1963-04-10,3,52
"277",1963-04-17,1,31
"278",1963-04-24,0,28
"279",1963-05-01,2,25
"280",1963-05-08,0,23
"281",1963-05-15,1,28
"282",1963-05-22,0,26
"283",1963-05-29,1,25
"284",1963-06-05,2,29
"285",1963-06-12,0,20
"286",1963-06-19,1,54
"287",1963-06-26,4,95
"288",1963-07-03,3,62
"289",1963-07-10,0,24
"290",1963-07-17,1,29
"291",1963-07-24,3,52
"292",1963-07-31,3,32
"293",1963-08-07,0,36
"294",1963-08-14,1,24
"295",1963-08-21,0,22
"296",1963-08-28,2,32
"297",1963-09-04,3,34
"298",1963-09-11,2,34
"299",1963-09-18,0,24
"300",1963-09-25,0,19
"301",1963-10-02,0,30
"302",1963-10-09,1,39
"303",1963-10-16,0,44
"304",1963-10-23,0,11
"305",1963-10-30,0,18
"306",1963-11-06,3,34
"307",1963-11-13,3,27
