,week,nyt,election,kennedy,mids
188,8/2/1961,1,0,1,1
189,8/9/1961,0,0,1,1
190,8/16/1961,3,0,1,1
191,8/23/1961,2,0,1,1
192,8/30/1961,7,0,1,1
193,9/6/1961,5,0,1,1
194,9/13/1961,2,0,1,1
195,9/20/1961,1,0,1,1
196,9/27/1961,2,0,1,1
197,10/4/1961,1,0,1,1
198,10/11/1961,1,0,1,1
199,10/18/1961,1,0,1,0
200,10/25/1961,2,0,1,0
201,11/1/1961,1,0,1,0
202,11/8/1961,0,0,1,0
203,11/15/1961,1,0,1,0
204,11/22/1961,1,0,1,0
205,11/29/1961,0,0,1,1
206,12/6/1961,2,0,1,1
207,12/13/1961,1,0,1,1
208,12/20/1961,1,0,1,1
209,12/27/1961,0,0,1,1
210,1/3/1962,0,0,1,1
211,1/10/1962,0,0,1,1
212,1/17/1962,0,0,1,1
213,1/24/1962,0,0,1,2
214,1/31/1962,0,0,1,2
215,2/7/1962,1,0,1,2
216,2/14/1962,1,0,1,2
217,2/21/1962,0,0,1,2
218,2/28/1962,1,0,1,2
219,3/7/1962,2,0,1,1
220,3/14/1962,2,0,1,1
221,3/21/1962,1,0,1,1
222,3/28/1962,0,0,1,1
223,4/4/1962,0,0,1,1
224,4/11/1962,0,0,1,1
225,4/18/1962,0,0,1,1
226,4/25/1962,0,0,1,1
227,5/2/1962,0,0,1,1
228,5/9/1962,0,0,1,2
229,5/16/1962,0,0,1,2
230,5/23/1962,1,0,1,2
231,5/30/1962,0,0,1,3
232,6/6/1962,1,0,1,3
233,6/13/1962,0,0,1,3
234,6/20/1962,1,0,1,3
235,6/27/1962,0,0,1,3
236,7/4/1962,0,0,1,3
237,7/11/1962,0,0,1,3
238,7/18/1962,3,0,1,3
239,7/25/1962,0,0,1,3
240,8/1/1962,0,0,1,3
241,8/8/1962,0,0,1,3
242,8/15/1962,0,0,1,3
243,8/22/1962,2,0,1,3
244,8/29/1962,1,1,1,3
245,9/5/1962,0,1,1,3
246,9/12/1962,0,1,1,3
247,9/19/1962,1,1,1,3
248,9/26/1962,1,1,1,3
249,10/3/1962,0,1,1,3
250,10/10/1962,0,1,1,3
251,10/17/1962,0,1,1,3
252,10/24/1962,0,1,1,3
253,10/31/1962,0,1,1,3
254,11/7/1962,0,1,1,3
255,11/14/1962,0,0,1,3
256,11/21/1962,0,0,1,3
257,11/28/1962,0,0,1,2
258,12/5/1962,0,0,1,2
259,12/12/1962,0,0,1,2
260,12/19/1962,0,0,1,1
261,12/26/1962,0,0,1,1
262,1/2/1963,0,0,1,1
263,1/9/1963,0,0,1,1
264,1/16/1963,0,0,1,1
265,1/23/1963,0,0,1,1
266,1/30/1963,0,0,1,1
267,2/6/1963,0,0,1,1
268,2/13/1963,0,0,1,1
269,2/20/1963,0,0,1,1
270,2/27/1963,0,0,1,1
271,3/6/1963,0,0,1,1
272,3/13/1963,0,0,1,2
273,3/20/1963,0,0,1,1
274,3/27/1963,0,0,1,1
275,4/3/1963,1,0,1,1
276,4/10/1963,0,0,1,1
277,4/17/1963,0,0,1,1
278,4/24/1963,0,0,1,1
279,5/1/1963,0,0,1,1
280,5/8/1963,0,0,1,1
281,5/15/1963,0,0,1,2
282,5/22/1963,0,0,1,2
283,5/29/1963,0,0,1,2
284,6/5/1963,1,0,1,2
285,6/12/1963,0,0,1,2
286,6/19/1963,0,0,1,2
287,6/26/1963,0,0,1,2
288,7/3/1963,0,0,1,2
289,7/10/1963,0,0,1,2
290,7/17/1963,0,0,1,2
291,7/24/1963,0,0,1,2
292,7/31/1963,0,0,1,2
293,8/7/1963,0,0,1,2
294,8/14/1963,0,0,1,2
295,8/21/1963,0,0,1,2
296,8/28/1963,0,0,1,2
297,9/4/1963,0,0,1,2
298,9/11/1963,0,0,1,2
299,9/18/1963,0,0,1,2
300,9/25/1963,1,0,1,2
301,10/2/1963,0,0,1,2
302,10/9/1963,2,0,1,2
303,10/16/1963,0,0,1,2
304,10/23/1963,1,0,1,2
305,10/30/1963,1,0,1,2
306,11/6/1963,0,0,1,2
307,11/13/1963,0,0,1,2
